Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
SW 1990,SW1990_PANCREAS,ACH-000155,SW1990
SW1463,SW1463_LARGE_INTESTINE,ACH-000470,SW1463
SW48,SW48_LARGE_INTESTINE,ACH-000958,SW48
SW620,SW620_LARGE_INTESTINE,ACH-000651,SW620
SW837,SW837_LARGE_INTESTINE,ACH-000421,SW837
SW948,SW948_LARGE_INTESTINE,ACH-000680,SW948
Saos-2,SAOS2_BONE,ACH-000410,Saos-2
T-47D,T47D_BREAST,ACH-000147,T47D
T24,T24_URINARY_TRACT,ACH-000018,T24
T84,T84_LARGE_INTESTINE,ACH-000381,T84
TCCSUP,TCCSUP_URINARY_TRACT,ACH-000720,TCCSUP
TE-1,TE1_OESOPHAGUS,ACH-000647,TE-1
TE-10,TE10_OESOPHAGUS,ACH-000318,TE-10
TE-11,TE11_OESOPHAGUS,ACH-000488,TE-11
TE-4,TE4_OESOPHAGUS,ACH-000917,TE-4
TE-5,TE5_OESOPHAGUS,ACH-000408,TE-5
TE-6,TE6_OESOPHAGUS,ACH-000605,TE-6
TE-8,TE8_OESOPHAGUS,ACH-000452,TE-8
TE-9,TE9_OESOPHAGUS,ACH-000694,TE-9
